爱好,小众程度,入坑时间,总花销,领域内程度等级,领域内程度描述,每日时长,金钱投入门槛,时间投入门槛,社会认知程度描述,社会认知程度等级
游戏阴阳师,,1~3年,300,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,0,两周,,
收集日本漫画书,收集日本漫画书，其实来说就是通过各种渠道购买日漫的单行本的实体书（正版的，以台版中文翻译漫画居多，也有一些大陆的，日文原版的）,1~3年,8000左右,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,一万以上吧,这个不好说，视情况而定吧,3 - 不高不低,3
摄影,,3~5年,3-4W,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门大概2-3K就够了，精通应该要五位数往上跑吧,脑袋好使的也许1个月？像我这种笨的至今没精通？,5 - 广为人知，老少咸宜的全民爱好,5
手帐,随手一个本子 可以记录心情 事情 感悟 或者规划,5~10年,1000+,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,0（因为随手就可以记）～无限因为有各种本子 笔高级的每一个都有可能上千上万,根据个人情况吧,3 - 不高不低,3
购买数码产品,,3~5年,20000,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,入门：1000 精通：没有上限,入门：一两天 精通：一到两个月,,
hifi音频,,1~3年,3000,爱好者程度，能带带萌新但依然仰望大佬,2,3~6小时,800,1个月,,
看F1,,<1年,0,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,亿级别,10年以上,2,2
乐高,,1~3年,8171,萌新入门阶段，还在摸索学习,1,<1小时,99 10w+,1天 1个月,5 - 广为人知，老少咸宜的全民爱好,5
喜欢闻各种调料的味道,,1~3年,不知道，每天都在吃,萌新入门阶段，还在摸索学习,1,<1小时,1000,不知道,3 - 不高不低,3
打碟,"这个爱好应该是存在很大误解的
会打碟的人叫做DJ DJ是职业也就是代表人 而不是DJ音乐  制作音乐的人叫做音乐制作人 而不是DJ 所谓的百大DJ其实是百大制作人 (PS:不会搓碟不等于这个人再假打！！！！) 打碟是为了把每个几分钟几分钟的单曲 串连起来并融入你自己的想法  这个东西下限很低 上限也很高",1~3年,3000,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,2000-20000,10000h,3 - 不高不低,3
女装,就是女装大佬。如果选上了务必匿一下,5~10年,5000+,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,看个人吧hhh,只要想，都可以,4,4
公路车骑行,,1~3年,2w,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,无所谓金钱，主要看个人能力但是有一句话 为什么不从器材上寻找提升呢,半年每周至少骑3次强度的,3 - 不高不低,3
服务器,说起服务器大多数人第一想到的肯定是各种互联网公司的服务系统，或者大型数据中心的服务器机房，但是其实普通人也可以自己玩这方面的东西，比如云服务器，HTPC，NAS或者二手数据中心服务器甚至老电脑。其实所谓的服务器就是跑着一些服务端程序的电脑而已，一般家庭可以用来做软路由提升网络家庭网络使用效率和速度，可以做成NAS网络服务存储也就是私有云盘，也可以装个EMBY这种服务软件当家庭影音服务器用，像我自己就是openwrt做网络管理，用DDNS可以在外部网络环境下访问家庭局域网，然后用群晖做NAS来存电影电视剧，挂BT下载电影，然后用emby访问做影音服务器，在哪都可以看自家存储的影视。除了这些还可以做家庭智能设备管理，通过homeassistant对智能家居进行联动管理。此外如果有什么喜欢玩的游戏比如我的世界，可以在自己家的服务器上部署相关服务端程序。如果本人还是程序员的话，可以用服务器做测试环境和远程调试链。此外还有云服务器，可以挂一些自己的网站和工具。,3~5年,5、6万左右，其中大头是云服务器，可能花了有三、四万，因为云服务器是按月计费，一般1核2G内存1M带宽一年就在七百左右，但是一般都会买打折扣的机器，我在天翼云买的8H16G10M机器是每年一千多，手上目前国内外的云服务器有五台，基本上每年都要花掉四五千。然后是一些其他云产品比如RDS云数据库，CDN流量，OSS存储，WAF防火墙之类的，虽然整体上自用不贵但是也是一笔支出。然后是物理设备，包括软路由，群晖，硬盘，交换机之类的。,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,下限很低上限很高，下限买个三四百的工控机或者用老电脑装个虚拟机管理系统比如ESXi就能入门，上限那肯定就自组数据中心了，像王思聪整的那个一台就每年光网络接入就得几十万，还有些自己建机房在淘宝卖云服务器的。,入门很简单，买个工控机一晚上就能折腾个七七八八，但是真要精通这玩意，最好是计算机专业相关的，然后理解计算机网络，云计算，软件工程原理这些。我本科是计科的，从高中开始买云服务器玩，搭建一些博客和一些程序，后面大学学了计算机，了解了更多，然后开始在自己家里买一些物理机，逐渐研究起了组网，存储，边缘计算之类的。这方面教程其实很多，难的是感兴趣。,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
主题公园,了解主要主题公园和项目,3~5年,3000左右,萌新入门阶段，还在摸索学习,1,<1小时,多少都行，只看地图和POV的话一分不用花,如果了解一些就算入门的话大概一周就足够，精通的话我觉得没有上限,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
折腾各种数码产品,手机 充电宝 充电头 充电线 刷机等,1~3年,2w左右吧,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,2k 2w 10w,1月 1年 3年,,
电子音乐,跳出传统音乐乐器演奏的框架，使用合成等一系列方法使用手机电脑等设备编曲的音乐,1~3年,0,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门其实可以选择一些免费的软件试试水，精通的的话软件一般500+（每年的订阅）但如果想要些设备的话，就不好说，便宜的几千，高级的可能有几十万的,入门的话时间可以自由些，有时间就可以拿出来消遣消遣，精通的话还真不好说，见过有的人专职做，每天除了吃饭睡觉其余时间都会扑在上面,2,2
志愿活动,,3~5年,500？,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门是0，精通也可以是0，上限大概没有,入门（指初步具备志愿服务经验）的话50h，精通（能力可以胜任大型志愿活动负责人）大概100？,4,4
cosplay,cosplay一般是通过服装，饰品，道具，妆面，等，装扮或扮演成自己喜欢，喜爱或者热爱的动漫，漫画，影视等作品中的角色。一般被称作coser或者cosplayer。,3~5年,不少于6万,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,没有固定投入，一般不少于1千,不少于三个月,3 - 不高不低,3
天文领域  虽然一直喜欢，但只是入门,方向很多，我感兴趣的比如嫦娥的取样，包括火星的探索，希望未来可以有机会可以参与到其中,>10年,没花过多少钱，几千块吧,爱好者程度，能带带萌新但依然仰望大佬,2,>6小时,我还没投入过钱，但无论是摄影还是望远镜都很贵很贵,我感觉这么多年我也没入门,2,2
钢笔,,1~3年,四千,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,一两千 ,入门 一个月 精通 五个月,,
实战球鞋,顾名思义咯,3~5年,1w+,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,1w+起步吧,如果每天都有很多时间打球的话一年左右就能很熟悉了吧,3 - 不高不低,3
找好吃的店,,>10年,数不清了,基本上不踩雷,,<1小时,看你收入可支配程度,0基础,4,4
跳绳,,1~3年,500,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,不清楚,时间越长越好,,
轮滑,有一定的危险性,3~5年,2K,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,"入门：200~500
精通：1K
差距在于轮滑鞋，入门用新手鞋就行，精通对于鞋子的要求更好了。","入门不到一个月
精通的话，最少一个学期",,
拍飞机（plane spotting）,就是喜欢看飞机、拍飞机,>10年,算上相机五六万吧,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,10000,1年,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
养生,学中医,<1年,300,萌新入门阶段，还在摸索学习,1,1~3小时,生命的长度,生命的长度,,
魔方/魔方速拧,还原魔方并计时，以时间作为成绩的手部极限运动,5~10年,也许大概2000,资深玩家，在圈里小有名气，各种玩法都试过,3,<1小时,入门：18 精通：几千以上,入门：一天；精通：几年（取决于天赋）,5 - 广为人知，老少咸宜的全民爱好,5
玩炉石传说竞技场，攒金币,也不算很小众，就很享受玩炉石传说攒金币的过程，可能是萌新时穷怕了，零氪玩家的倔强,5~10年,0，白嫖就完事了,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,可以白嫖不花钱，也可以10块钱金币号随便玩,入门一周，精通一年,3 - 不高不低,3
记录梦境,"小众到我不知道该如何描述😂
“做梦，也许比不做梦的人多活半辈子，体验各种有趣”",1~3年,0,选项 5,,<1小时,0,0,,
汽车模型,汽车静态模型，欣赏汽车的各种细节,3~5年,10w+,算资深玩家，但名气一般,3,1~3小时,5e至10w,2年,2,2
看网络小说（主要是耽美,,>10年,600左右？,爱好者程度，能带带萌新但依然仰望大佬,2,3~6小时,入门100左右 精通1500+,入门 200小时左右 精通 无法想象,,
桌游,,5~10年,5000,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,0 2000,24 500,,
中国象棋,,>10年,0,萌新入门阶段，还在摸索学习,1,<1小时,0,1个月,,
cosplay舞台剧,,3~5年,脑子不好记不清楚,爱好者程度，能带带萌新但依然仰望大佬,2,3~6小时,"入门：300
精通：？？？","入门：半年
精通：三~五年吧",1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
赞助游戏,在赞助网站如ci-en、爱赞助、gumroad等网站找到有潜力的游戏作者去赞助他/她使其游戏能够发布。,1~3年,3000+,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,投入即可。,不需要投入时间，只需要平时浏览的时候自己去了解作者的想法和更新并持续关注。,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
追星,,1~3年,1000多,爱好者程度，能带带萌新但依然仰望大佬,2,3~6小时,0，∞,1天，∞,,
写小说,创作题材主要为都市，风格在网文和轻小说之间,5~10年,不到1K,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,几乎没有成本,在有行动力这个前提下，有说故事天赋（不是文字天赋）的，大量实战一两年即可，没有的需要补充基础知识以及巨量练习，且有一定次数的失败。,5 - 广为人知，老少咸宜的全民爱好,5
二胡,,5~10年,10000,萌新入门阶段，还在摸索学习,1,<1小时,200～20000,入门七八个月，精通五年往上,,
魔方,,3~5年,魔方1-2k，跑比赛2k+,资深玩家，在圈里小有名气，各种玩法都试过,3,1~3小时,20（一个入门魔方价格）,入门5h内（三阶） 精通因人而异,3 - 不高不低,3
画画,,1~3年,3000,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,3000 未知,一年 五年+,5 - 广为人知，老少咸宜的全民爱好,5
野营,,1~3年,5000,萌新入门阶段，还在摸索学习,1,<1小时,10000,3个月,,
v家：VOCALOID,,1~3年,300,爱好者程度，能带带萌新但依然仰望大佬,2,<1小时,入门0精通看个人，听歌不需要花钱，如果有喜欢的专辑周边可以买但是不贵，听的歌多了解的p主多算精通吧，做p主就不了解了,入门3min精通几天吧，把各位p主的歌都听一遍，了解一下历史,3 - 不高不低,3
极限轮滑,单排轮滑鞋，与普通的轮滑鞋不同，这种轮滑鞋的轮子比较小，坚固舒适，并且在连接轮子与鞋身的部分（我们叫刀架）的部分专门开有v性或者半圆的凹槽。用来在楼梯扶手上滑行。轮滑鞋的脚底部分有专门的摩擦位置，可以在楼梯扶手（杆）和台子上滑行。最开始滑板可以玩杆子之后，轮滑鞋也进行了改进。来实现这种能力。,5~10年,4000,爱好者程度，能带带萌新但依然仰望大佬,2,1~3小时,4000,1年,1 - 少有人知，大部分人闻所未闻且误解广泛存在,1
